 ,Area,Mean,Min,Max
1,4177610.947,255,255,255
2,48.077,255,255,255
3,221.893,255,255,255
4,22.189,255,255,255
5,92.456,255,255,255
6,351.331,255,255,255
7,48.077,255,255,255
8,29.586,255,255,255
9,73.964,255,255,255
10,22.189,255,255,255
11,59.172,255,255,255
12,36.982,255,255,255
13,33.284,255,255,255
14,22.189,255,255,255
15,48.077,255,255,255
16,40.680,255,255,255
17,88.757,255,255,255
18,62.870,255,255,255
19,40.680,255,255,255
20,22.189,255,255,255
21,25.888,255,255,255
22,22.189,255,255,255
23,25.888,255,255,255
24,22.189,255,255,255
25,22.189,255,255,255
26,48.077,255,255,255
27,25.888,255,255,255
28,36.982,255,255,255
29,22.189,255,255,255
30,66.568,255,255,255
31,36.982,255,255,255
32,29.586,255,255,255
33,25.888,255,255,255
34,29.586,255,255,255
35,96.154,255,255,255
36,66.568,255,255,255
37,22.189,255,255,255
38,25.888,255,255,255
39,70.266,255,255,255
40,77.663,255,255,255
41,22.189,255,255,255
42,55.473,255,255,255
43,29.586,255,255,255
44,33.284,255,255,255
45,73.964,255,255,255
46,51.775,255,255,255
47,25.888,255,255,255
48,29.586,255,255,255
49,25.888,255,255,255
50,36.982,255,255,255
51,22.189,255,255,255
52,22.189,255,255,255
53,70.266,255,255,255
54,22.189,255,255,255
55,22.189,255,255,255
56,44.379,255,255,255
57,129.438,255,255,255
58,40.680,255,255,255
59,59.172,255,255,255
60,25.888,255,255,255
61,59.172,255,255,255
62,22.189,255,255,255
63,44.379,255,255,255
64,107.249,255,255,255
65,22.189,255,255,255
66,44.379,255,255,255
67,25.888,255,255,255
68,22.189,255,255,255
69,85.059,255,255,255
70,114.645,255,255,255
71,22.189,255,255,255
72,29.586,255,255,255
73,25.888,255,255,255
74,25.888,255,255,255
75,22.189,255,255,255
76,166.420,255,255,255
77,22.189,255,255,255
78,25.888,255,255,255
