 ,Label,Area,Mean,Min,Max
1,,2902071.938,255,255,255
2,,3834.721,255,255,255
3,,805.589,255,255,255
4,,306.183,255,255,255
5,,1043.401,255,255,255
6,,193.222,255,255,255
7,,166.468,255,255,255
8,,1254.459,255,255,255
9,,228.894,255,255,255
10,,1307.967,255,255,255
11,,576.694,255,255,255
12,,386.445,255,255,255
13,,228.894,255,255,255
14,,217.004,255,255,255
15,,115.933,255,255,255
16,,101.070,255,255,255
17,,255.648,255,255,255
18,,401.308,255,255,255
19,,410.226,255,255,255
20,,653.983,255,255,255
21,,121.879,255,255,255
22,,237.812,255,255,255
23,,1724.138,255,255,255
24,,160.523,255,255,255
25,,181.332,255,255,255
26,,1043.401,255,255,255
27,,692.628,255,255,255
28,,169.441,255,255,255
29,,401.308,255,255,255
30,,145.660,255,255,255
31,,1299.049,255,255,255
32,,454.816,255,255,255
33,,175.386,255,255,255
34,,270.511,255,255,255
35,,112.961,255,255,255
36,,428.062,255,255,255
37,,1447.681,255,255,255
38,,282.402,255,255,255
39,,6016.647,255,255,255
40,,172.414,255,255,255
41,,109.988,255,255,255
42,,294.293,255,255,255
43,,460.761,255,255,255
44,,276.457,255,255,255
45,,225.922,255,255,255
46,,591.558,255,255,255
47,,419.144,255,255,255
48,,154.578,255,255,255
49,,249.703,255,255,255
50,,130.797,255,255,255
51,,3326.397,255,255,255
52,,142.687,255,255,255
53,,217.004,255,255,255
54,,104.043,255,255,255
55,,115.933,255,255,255
56,,324.019,255,255,255
57,,136.742,255,255,255
58,,157.551,255,255,255
59,,2291.914,255,255,255
60,,157.551,255,255,255
61,,121.879,255,255,255
62,,101.070,255,255,255
63,,142.687,255,255,255
64,,1521.998,255,255,255
65,,175.386,255,255,255
66,,109.988,255,255,255
67,,514.269,255,255,255
68,,107.015,255,255,255
69,,217.004,255,255,255
70,,683.710,255,255,255
71,,481.570,255,255,255
72,,109.988,255,255,255
73,,124.851,255,255,255
74,,157.551,255,255,255
75,,151.605,255,255,255
76,,199.168,255,255,255
77,,148.633,255,255,255
78,,603.448,255,255,255
79,Mean,37764.833,255,255,255
80,SD,328532.110,0,0,0
81,Min,101.070,255,255,255
82,Max,2902071.938,255,255,255
